% Model,20260626_TI_field_CompactXY_X10_Y10_leadField.mph
% Version,COMSOL 6.3.0.335
% Date,"Jul 3 2026, 20:44"
% Dimension,2
% Nodes,277
% Expressions,4
% Description,"Electric field, x-component, Electric field, y-component"
% Length unit,mm
% x,y,ec.Ex (V/m) @ idx=1,ec.Ey (V/m) @ idx=1,ec.Ex (V/m) @ idx=2,ec.Ey (V/m) @ idx=2
3.603143032659244,3.931359707687619,0.017572905421424694-4.562248646490012E-8i,-0.017508359905380355+4.545491446348585E-8i,0.010276033955375907-2.6678469427738618E-8i,-0.010230392290859439+2.6559975293061604E-8i
4.0367080448186465,4.252731756168891,0.006460832455719712-1.6773506383506895E-8i,-0.011288154173343548+2.9306119200930978E-8i,0.003766942951057247-9.77967499836942E-9i,-0.006579733217809691+1.7082194575867286E-8i
3.641397137601654,4.55547728187849,0.013800005331842497-3.5827345641998956E-8i,-0.006359829767483958+1.6511284874517293E-8i,0.008043111930908791-2.0881394192007966E-8i,-0.0036946651818104137+9.592028649057139E-9i
4.093584893136561,4.617537811955873,0.006940806470186728-1.8019606982891164E-8i,-0.004916529938962399+1.2764213726500021E-8i,0.0040441336154798556-1.0499312817648207E-8i,-0.002863543631190596+7.434284622985612E-9i
4.509569930730237,4.438937427344177,0.00122567065052534-3.182065874879611E-9i,-0.004453694514484574+1.1562608051031793E-8i,7.14108367314642E-4-1.853956334535514E-9i,-0.002594790847780859+6.736553090859645E-9i
4.757556381341981,4.7370016872557565,0.001206554145299632-3.132435920129926E-9i,-0.001462687677949298+3.797405562103429E-9i,7.029511814506118E-4-1.8249902331013445E-9i,-8.521670176547258E-4+2.2123819195774803E-9i
5,4.500000000000001,-1.699493469702329E-4+4.412196842767815E-10i,-0.002032401813547191+5.276487979998399E-9i,-9.901358819336403E-5+2.5705744035251926E-10i,-0.0011840875902523473+3.0741086214252052E-9i
-5,-5,2.244788931737851E-6-5.827883894618031E-12i,-1.9964505663716547E-5+5.183151946421192E-11i,3.1858327286249377E-6-8.271006237166317E-12i,-2.80005697876895E-5+7.269461625294957E-11i
-4.463327804888196,-4.999999999999999,0.00906746914214751-2.3540813444775302E-8i,5.5644054232861784E-5-1.4446217345470503E-10i,0.01270108203216222-3.297433914344813E-8i,7.695453946182651E-5-1.9978810280681118E-10i
-3.8106271205825033,-4.999999999999999,0.029224144859153256-7.587124162515128E-8i,-3.8656389008251413E-4+1.0035907791113204E-9i,0.04092266765287463-1.06242753052344E-7i,-5.610029073068734E-4+1.45646647105241E-9i
-3.0607111426169022,-4.999999999999999,0.0543606909434348-1.4113032690459242E-7i,-1.4496178472903076E-4+3.76347388389726E-10i,0.07577765610584523-1.9673269770264195E-7i,-2.1560322894196662E-4+5.597455377089304E-10i
-2.9132527383684907,-3.83042535444185,0.07303530883175598-1.8961306105784012E-7i,-0.0271050629560294+7.03697162299583E-8i,0.10374824834223728-2.6934948673766225E-7i,-0.0365979822786602+9.501507639794716E-8i
-2.76513107754181,-4.353999942724387,0.06593428960969591-1.7117751237785478E-7i,-0.01384216151379771+3.593679082447684E-8i,0.09208202767573435-2.3906183755899205E-7i,-0.018320331663368033+4.7562942114585104E-8i
-2.201884612129863,-4.999999999999999,0.07077660072050897-1.8374904041001313E-7i,3.272784599953985E-5-8.496749258911959E-11i,0.09722356645051226-2.5241021550422903E-7i,1.7095166821275617E-4-4.4382189411202196E-10i
-2.4956998586770025,-3.800977661776391,0.07947636751123806-2.0633523109045753E-7i,-0.018457702060743136+4.7919580868659565E-8i,0.11176093350117994-2.901518874474244E-7i,-0.022346613151016843+5.801590753316268E-8i
