% Model,20260626_TI_field_Base_X50_Y50_leadField.mph
% Version,COMSOL 6.3.0.335
% Date,"Jul 7 2026, 21:51"
% Dimension,2
% Nodes,861
% Expressions,2
% Description,"Electric field, x-component, Electric field, y-component"
% Length unit,mm
% x,y,ec.Ex (V/m) @ idx=3,ec.Ey (V/m) @ idx=3
-22.6554352827597,-12.789518143457459,7.567907916248076E-4-2.043358448274062E-9i,-0.006723755223433228+1.8154346210291734E-8i
-25,-11.111111111111114,-3.4949890688843834E-6+9.436578139077149E-12i,-0.0070921924259530296+1.914913800580271E-8i
-20.31374615507356,-11.873611965625628,0.0013254770315886029-3.5788288130111124E-9i,-0.007351434846434031+1.9849100526362195E-8i
-12.495323737059728,-22.77380330545333,0.010457011529575058-2.823425322970074E-8i,-0.0029508577538897482+7.96740682866245E-9i
-11.11111111111111,-24.999999999999996,0.012844522615004664-3.4680606701156614E-8i,2.3717107332417903E-5-6.403692033862863E-11i
-13.861760069679336,-20.547220885139964,0.008030566809284925-2.1682777744876997E-8i,-0.004895788869064198+1.3218780747955568E-8i
-15.22709538594804,-18.319418455819406,0.005851722932783913-1.5799832164955132E-8i,-0.0061127159986608046+1.650452148200357E-8i
-16.366971081395285,-16.38516329017844,0.0042910640452801215-1.158600509683484E-8i,-0.006801347083555199+1.836384662262873E-8i
-18.118769501884653,-13.167179520004535,0.0023365708536557395-6.308813276593182E-9i,-0.007527623317846152+2.0324814826180166E-8i
-16.089958284318048,-14.354387205566795,0.003520775496500301-9.50620228848217E-9i,-0.007872057539748059+2.1254797834676314E-8i
-9.732907796083163,-22.768433163124996,0.014611448056758755-3.9451359819233226E-8i,-0.004138533188205587+1.1174167084431695E-8i
-8.33333333333333,-25,0.0181496199039539-4.9004532790437155E-8i,2.4320887226337667E-5-6.566714465043317E-11i
-22.34876816142875,-10.204624167471845,5.663844127072058E-4-1.529255360242971E-9i,-0.007449653909385262+2.0114295021700156E-8i
-25,-8.333333333333337,-1.0974875029971335E-5+2.9632500631240416E-11i,-0.007640838819368344+2.0630500167586164E-8i
-20,-10,0.0010168933722387488-2.7456434276858293E-9i,-0.007859601571118823+2.122116633570513E-8i
-18.128864094545385,-10.912805063279919,0.0016293933529915247-4.399412242117245E-9i,-0.008143109445952012+2.1986646330445936E-8i
-11.133997675077202,-20.544798702451853,0.010999430563442636-2.9698801328889006E-8i,-0.006521692265795724+1.7608770000670395E-8i
-12.525589043215584,-18.28766850291015,0.00787585504874668-2.1265051225947113E-8i,-0.007735699796613679+2.0886627728085028E-8i
-13.954660492105072,-15.853231091466986,0.005282555144344968-1.4263061604502015E-8i,-0.008332560374569113+2.2498169673233256E-8i
-15.639464156994816,-11.864261552348836,0.0025447252507305846-6.870836560324728E-9i,-0.008855589250530668+2.391036374881363E-8i
-14.182689117055352,-13.56391588235085,0.0038038118897059077-1.0270409268305723E-8i,-0.009144123641455457+2.4689415491830786E-8i
-7.0006003664019785,-22.751605492735933,0.02053725841436977-5.545123031328041E-8i,-0.006097603105657458+1.6463716205381938E-8i
-5.555555555555557,-24.999999999999996,0.02589612434043039-6.992033337895845E-8i,-1.4137391678586964E-4+3.8171392996152354E-10i
-8.414025017547926,-20.53657358002667,0.014880814543530694-4.017865763062001E-8i,-0.009295005547149009+2.5096801284710083E-8i
-4.348913750612613,-22.707869808262085,0.02960009920590445-7.992117960662717E-8i,-0.00823680361080494+2.2239623461543553E-8i
-2.7777777777777786,-24.999999999999996,0.0344280120764175-9.295669306775864E-8i,-0.0018194800308241749+4.9126521273672795E-9i
-22.844835019597397,-7.051360413758099,2.0349011501630496E-4-5.49429578505E-10i,-0.00788306572613512+2.128452027699812E-8i
-24.999999999999993,-5.555555555555548,-1.643086784834195E-6+4.436384929391549E-12i,-0.007900360518461455+2.1331216748998052E-8i
