% Model,20260626_TI_field_CompactX_X30_Y50_leadField.mph
% Version,COMSOL 6.3.0.335
% Date,"Jul 3 2026, 17:11"
% Dimension,2
% Nodes,668
% Expressions,4
% Description,"Electric field, x-component, Electric field, y-component"
% Length unit,mm
% x,y,ec.Ex (V/m) @ idx=1,ec.Ey (V/m) @ idx=1,ec.Ex (V/m) @ idx=2,ec.Ey (V/m) @ idx=2
14.010119121165335,-18.262146195528086,0.009420455804533767-2.4457231580588542E-8i,-0.017075460266406568+4.4331027579320714E-8i,0.0044304526735653065-1.1502267967976563E-8i,-0.008012943329780087+2.080307096862558E-8i
13.649395451743114,-17.941690947860497,0.005361014274710992-1.3918176608856344E-8i,-0.01489969782454259+3.8682349106734454E-8i,0.0027042979211613083-7.020853543931532E-9i,-0.006938265729845905+1.8013010754827148E-8i
14.471183362854061,-18.07117834824532,0.005904937843291241-1.5330301983142882E-8i,-0.022377200948489884+5.809531906715646E-8i,0.0027222691892863082-7.067510253061883E-9i,-0.010292465312872395+2.67211282463458E-8i
14.052723134161191,-17.675624103482264,0.004231085733117053-1.09846748139626E-8i,-0.01781329190317558+4.624657387372614E-8i,0.002101665652921192-5.456309614412785E-9i,-0.008174564448867402+2.122266904539183E-8i
14.702301229842444,-17.726748864282705,0.0021699379747718572-5.6335570874371635E-9i,-0.021712127963930045+5.636866758247338E-8i,0.0010274504642562021-2.6674499051121113E-9i,-0.009902503063337759+2.5708714702631012E-8i
15,-18.000000000000004,2.216216139817595E-4-5.753703694260703E-10i,-0.02461128846158256+6.389542012518177E-8i,9.414077002389831E-5-2.4440671039483565E-10i,-0.01123911623016327+2.9178807703744156E-8i
-14.70032412945356,17.726426967955696,0.016210492500928764-4.208541256990135E-8i,-0.12671430966193165+3.2897359536299764E-7i,-7.247361326465085E-5+1.8815479631592728E-10i,7.847138596998038E-4-2.0372611463137192E-9i
-14.471183362854061,18.07117834824532,0.03746040517181726-9.725408445191875E-8i,-0.1389304291226071+3.6068888269782143E-7i,-2.113212868200265E-4+5.486288303749733E-10i,7.961281590062874E-4-2.0668947614152016E-9i
-15,18.000000000000004,7.147140526013729E-4-1.8555288046736455E-9i,-0.14501618828576235+3.7648863000149984E-7i,-9.360545653314123E-6+2.4301693834499427E-11i,8.874481353431385E-4-2.303978173888444E-9i
-14.117087054644545,17.854421859609733,0.04574003287255986-1.1874951697445586E-7i,-0.11513247872304558+2.9890503739965404E-7i,-1.7266355841309976E-4+4.4826627514225345E-10i,6.495932181736941E-4-1.6864631711780126E-9i
-14.010119121165335,18.262146195528086,0.06935387180949674-1.8005537513784536E-7i,-0.12308009025959077+3.195384950470451E-7i,-3.194323667423671E-4+8.29305028320996E-10i,5.764211505334497E-4-1.4964950591566026E-9i
-13.686053876670952,17.972656357485082,0.06115557703025526-1.5877109780115568E-7i,-0.09985096746812316+2.5923143057875784E-7i,-1.633023988379806E-4+4.2396298744968294E-10i,5.168953449328403E-4-1.341955146994168E-9i
-13.585786437628055,18.585786437625757,0.09579442554720402-2.486999035237154E-7i,-0.09701005292723697+2.51855895225822E-7i,-2.834334058975235E-4+7.358451214556384E-10i,3.0063061472540564E-4-7.804922306348647E-10i
-13.076618673375753,18.41288535742073,0.08057208141689642-2.0917990541331695E-7i,-0.0724979649735269+1.8821801781875778E-7i,-7.480773145792281E-5+1.9421459536887878E-10i,3.0697687782421657E-4-7.969682939534693E-10i
-13.262146195530818,19.010119121160535,0.1121933562728975-2.9127453629670445E-7i,-0.06435992525817746+1.670901736825475E-7i,-1.1580942246980364E-4+3.0066250755303626E-10i,8.001381968048005E-5-2.0773055552438552E-10i
-13.07117834824522,19.471183362854422,0.11688688917544872-3.0345980880481575E-7i,-0.032156347215338554+8.348377689460571E-8i,8.845201486974245E-5-2.2963765834746722E-10i,-1.4587753981979793E-5+3.78724856638303E-11i
-12.656913449747309,19.081348045166973,0.09113485893843283-2.366028137458783E-7i,-0.04207113921028285+1.0922439591826538E-7i,7.489166020901762E-5-1.944324898147001E-10i,1.5493338307630278E-4-4.022354871202154E-10i
-14.122405719600629,22.11582948849167,0.023449385635688193-6.087890722214476E-8i,0.04666732087499974-1.2115692675251553E-7i,1.3603149862229102E-4-3.5316272727027917E-10i,2.818289251838468E-4-7.31679595163512E-10i
-14.471183362851226,21.92882165175391,0.014979038634601446-3.888833240579307E-8i,0.05460062247148709-1.4175323317011334E-7i,9.049929737695954E-5-2.349527793283638E-10i,3.299094973319844E-4-8.565055814978868E-10i
-14.010119121165692,21.73785380447212,0.03206466191207141-8.324574502637219E-8i,0.055952466958775926-1.4526286947355515E-7i,1.8754073713286856E-4-4.86890160515676E-10i,3.2813239285459095E-4-8.51891892238237E-10i
-13.555274781193125,21.888696598576875,0.040862919381197904-1.0608763557744537E-7i,0.04254745898819801-1.1046100944913582E-7i,2.2447557295998677E-4-5.827797705334583E-10i,2.547615414425092E-4-6.614077010894553E-10i
-13.585786437628867,21.41421356237506,0.05413151317656262-1.405353393759714E-7i,0.05339248677952371-1.386166912647135E-7i,2.952743544166747E-4-7.665863962060964E-10i,2.9240270951876035E-4-7.591310792057721E-10i
-14.453467018273134,22.389393774464743,0.013125155704822164-3.407531219980142E-8i,0.042422740693212335-1.1013721787405909E-7i,7.702508793501946E-5-1.999712595864267E-10i,2.594476577556469E-4-6.73573718769442E-10i
-15,22,1.203604415076498E-4-3.124777879304487E-10i,0.05391021445792066-1.399608073021095E-7i,9.957789612879964E-7-2.585224874072315E-12i,3.288101624459583E-4-8.536515064557893E-10i
-12.453870497749168,19.563791024472366,0.08976789136039763-2.3305391512427583E-7i,-0.02306974125709679+5.989328076435762E-8i,1.758908556932345E-4-4.5664493097507143E-10i,1.203962927795851E-4-3.125708644013289E-10i
-13.000000000000002,20,0.1122606752634067-2.91449308746647E-7i,-8.088968436778347E-4+2.100044609433535E-9i,2.716879179259594E-4-7.05351679817896E-10i,4.033971599500437E-6-1.0472930360389933E-11i
-12.543725718520179,20.161259887054413,0.08966429565056477-2.3278496165549264E-7i,-0.0016217559353868677+4.210375941676273E-9i,2.651483643710817E-4-6.88373799014471E-10i,9.874132589281215E-5-2.56350597467521E-10i
-13.071178348246562,20.52881663715048,0.09727678267753984-2.5254837459283137E-7i,0.025737456588625696-6.681915919400313E-8i,3.727783523533035E-4-9.678009940215672E-10i,1.0252029155055631E-4-2.661614856232708E-10i
-13.262146195531413,20.98988087884051,0.07739604458158578-2.0093433110126835E-7i,0.04341487427240276-1.1271297866618583E-7i,3.7024493287170684E-4-9.612237722642036E-10i,2.100963135318231E-4-5.454485749905394E-10i
-12.772898081714168,20.971662077780316,0.07407831532497876-1.923208972681105E-7i,0.02397846904437062-6.225250481869224E-8i,3.2003763697775744E-4-8.308764208934845E-10i,1.6321486346407288E-4-4.237357295614554E-10i
-13.010727436602796,21.32749814579508,0.06373942334625263-1.6547923687958215E-7i,0.033518553165861276-8.702031345753961E-8i,3.077073042657474E-4-7.988646150017442E-10i,2.0168677908596056E-4-5.236158807145159E-10i
13.585786437626096,18.585786437627714,-0.005016560153168648+1.3023910514503736E-8i,-0.005176329594916512+1.3438701297178697E-8i,-2.669593485952193E-4+6.93075446315238E-10i,-2.772027562679795E-4+7.19669211926518E-10i
13.426473994101883,18.099431727462225,-0.0026699932504272716+6.9317923250474934E-9i,-0.007185362355724127+1.8654518928888133E-8i,-1.3018938469015287E-4+3.3799552768955635E-10i,-4.0451042362070017E-4+1.0501832727170644E-9i
14.010119121161676,18.262146195530168,-0.005317423214965644+1.3805006220381594E-8i,-0.009533303656637862+2.4750205308130955E-8i,-2.995168054272801E-4+7.776005773628696E-10i,-5.385731575788741E-4+1.3982347257200668E-9i
14.076382362601416,17.801002197961033,-0.0027450101204471444+7.126549882488013E-9i,-0.010325489588622927+2.680686532497211E-8i,-1.4711617706368861E-4+3.8194058613883057E-10i,-5.973862937721675E-4+1.5509244173573537E-9i
