% Model,20260626_TI_field_Base_X50_Y50.mph
% Version,COMSOL 6.3.0.335
% Date,"Jul 7 2026, 19:57"
% Dimension,2
% Nodes,2200
% Expressions,2
% Description,Arrow surface
% x,y,ec.Jx,ec.Jy
10.83,-19.5,-0.0061081952258258436,-0.0031220514194116988
11.969999999999999,-19.5,-0.0055207589141604355,-0.0029401121212206524
13.11,-19.5,-0.0049371383044321,-0.0028226660970794974
14.250000000000007,-19.5,-0.004388081515815679,-0.0026870016206440328
15.389999999999993,-19.5,-0.003855662648863326,-0.00255595647544723
16.530000000000005,-19.5,-0.003368712422628275,-0.0024474032077546714
17.67,-19.5,-0.0028641385635324976,-0.0023596828584774117
18.809999999999995,-19.5,-0.0024047073079103616,-0.002278694323770752
19.949999999999996,-19.5,-0.0019376451893016876,-0.0021883143462872222
21.090000000000003,-19.5,-0.0014772542670273786,-0.002098910230147412
22.230000000000004,-19.5,-0.0010004339603170384,-0.0019521754992883487
23.369999999999997,-19.5,-4.1253212350674743E-4,-0.0016382369158391135
24.509999999999998,-19.5,7.712104975458915E-4,-4.629735431026003E-4
-24.51,-18.5,-0.13405273326983774,-0.23420554764932025
-23.37,-18.5,-0.1201068601415455,-0.10364075724159784
-22.23,-18.5,-0.09199793633963566,-0.06694680336783239
-21.09,-18.5,-0.0746879299109616,-0.04898807621269868
-19.95,-18.5,-0.06245756625212358,-0.0395468946629537
